model,descriptor,scale,sim_target,sim_orig_target,delta_target,path,stem
MuQ-MuLan,gentle,0.6,0.25691157579421997,0.25709089636802673,-0.0001793205738067627,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_gentle_0.6.wav,guitar
MuQ-MuLan,gentle,1.0,0.24549758434295654,0.25709089636802673,-0.01159331202507019,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_gentle_1.0.wav,guitar
MuQ-MuLan,hard,0.3,0.25021082162857056,0.24117451906204224,0.00903630256652832,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_hard_0.3.wav,guitar
MuQ-MuLan,hard,0.6,0.2584579586982727,0.24117451906204224,0.01728343963623047,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_hard_0.6.wav,guitar
MuQ-MuLan,hard,1.0,0.2655223608016968,0.24117451906204224,0.02434784173965454,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_hard_1.0.wav,guitar
MuQ-MuLan,harsh,0.3,0.12902125716209412,0.1251177340745926,0.003903523087501526,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_harsh_0.3.wav,guitar
MuQ-MuLan,harsh,0.6,0.12590178847312927,0.1251177340745926,0.0007840543985366821,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_harsh_0.6.wav,guitar
MuQ-MuLan,harsh,1.0,0.123600535094738,0.1251177340745926,-0.0015171989798545837,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_harsh_1.0.wav,guitar
MuQ-MuLan,heavy,0.3,0.2577204704284668,0.2566946744918823,0.0010257959365844727,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_heavy_0.3.wav,guitar
MuQ-MuLan,heavy,0.6,0.2754118740558624,0.2566946744918823,0.018717199563980103,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_heavy_0.6.wav,guitar
MuQ-MuLan,heavy,1.0,0.300091952085495,0.2566946744918823,0.04339727759361267,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_heavy_1.0.wav,guitar
MuQ-MuLan,loud,0.3,0.14738324284553528,0.1255519688129425,0.021831274032592773,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_loud_0.3.wav,guitar
MuQ-MuLan,loud,0.6,0.1696942150592804,0.1255519688129425,0.04414224624633789,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_loud_0.6.wav,guitar
MuQ-MuLan,loud,1.0,0.17188964784145355,0.1255519688129425,0.04633767902851105,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_loud_1.0.wav,guitar
MuQ-MuLan,mellow,0.3,0.14212176203727722,0.1269642561674118,0.015157505869865417,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_mellow_0.3.wav,guitar
MuQ-MuLan,mellow,0.6,0.1557161509990692,0.1269642561674118,0.02875189483165741,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_mellow_0.6.wav,guitar
MuQ-MuLan,mellow,1.0,0.17089888453483582,0.1269642561674118,0.04393462836742401,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_mellow_1.0.wav,guitar
MuQ-MuLan,peaceful,0.3,0.16673539578914642,0.15800999104976654,0.008725404739379883,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_peaceful_0.3.wav,guitar
MuQ-MuLan,peaceful,0.6,0.1670694202184677,0.15800999104976654,0.009059429168701172,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_peaceful_0.6.wav,guitar
MuQ-MuLan,peaceful,1.0,0.16855695843696594,0.15800999104976654,0.010546967387199402,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_peaceful_1.0.wav,guitar
MuQ-MuLan,sharp,0.3,0.2623225748538971,0.2565707266330719,0.005751848220825195,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_sharp_0.3.wav,guitar
MuQ-MuLan,sharp,0.6,0.25812622904777527,0.2565707266330719,0.0015555024147033691,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_sharp_0.6.wav,guitar
MuQ-MuLan,sharp,1.0,0.24687546491622925,0.2565707266330719,-0.009695261716842651,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_sharp_1.0.wav,guitar
MuQ-MuLan,smooth,0.3,0.2128456085920334,0.19604448974132538,0.016801118850708008,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_smooth_0.3.wav,guitar
MuQ-MuLan,smooth,0.6,0.2279348522424698,0.19604448974132538,0.03189036250114441,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_smooth_0.6.wav,guitar
MuQ-MuLan,smooth,1.0,0.23171578347682953,0.19604448974132538,0.03567129373550415,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_smooth_1.0.wav,guitar
MuQ-MuLan,soft,0.3,0.17210598289966583,0.17615488171577454,-0.004048898816108704,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_soft_0.3.wav,guitar
MuQ-MuLan,soft,0.6,0.16379469633102417,0.17615488171577454,-0.012360185384750366,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_soft_0.6.wav,guitar
MuQ-MuLan,soft,1.0,0.1539936512708664,0.17615488171577454,-0.022161230444908142,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_soft_1.0.wav,guitar
MuQ-MuLan,soothing,0.3,0.08700748533010483,0.07960277050733566,0.007404714822769165,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_soothing_0.3.wav,guitar
MuQ-MuLan,soothing,0.6,0.08490479737520218,0.07960277050733566,0.005302026867866516,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_soothing_0.6.wav,guitar
MuQ-MuLan,soothing,1.0,0.0817057341337204,0.07960277050733566,0.002102963626384735,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_soothing_1.0.wav,guitar
MuQ-MuLan,tinny,0.3,0.04004249721765518,0.02780565805733204,0.012236839160323143,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_tinny_0.3.wav,guitar
MuQ-MuLan,tinny,0.6,0.03830038756132126,0.02780565805733204,0.01049472950398922,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_tinny_0.6.wav,guitar
MuQ-MuLan,tinny,1.0,0.028607532382011414,0.02780565805733204,0.0008018743246793747,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_tinny_1.0.wav,guitar
MuQ-MuLan,warm,0.3,0.11514455080032349,0.10468170046806335,0.010462850332260132,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_warm_0.3.wav,guitar
MuQ-MuLan,warm,0.6,0.12627163529396057,0.10468170046806335,0.021589934825897217,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_warm_0.6.wav,guitar
MuQ-MuLan,warm,1.0,0.12961599230766296,0.10468170046806335,0.02493429183959961,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_warm_1.0.wav,guitar
